,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
179,201607607,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,1030,16,Foothill,1681,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1606,37,F,H,108.0,PARKING LOT,,,IC,Invest Cont,420.0,,,,8300    LAUREL CANYON                BL,,34.2217,-118.3965
180,201614670,11/11/2020 12:00:00 AM,11/11/2020 12:00:00 AM,1630,16,Foothill,1645,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1202 2000 0913 1813 0444 0400,63,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,10900    GLENOAKS                     BL,,34.2626,-118.4094
181,201417871,09/27/2020 12:00:00 AM,09/26/2020 12:00:00 AM,2255,14,Pacific,1407,2,624,BATTERY - SIMPLE ASSAULT,0447 0416 1822,32,F,H,101.0,STREET,306.0,ROCK/THROWN OBJECT,IC,Invest Cont,624.0,,,,TABOR,HUGHES,34.0277,-118.4022
182,202009387,05/05/2020 12:00:00 AM,05/05/2020 12:00:00 AM,1900,20,Olympic,2021,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822,31,M,O,122.0,"VEHICLE, PASSENGER/TRUCK",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740.0,,,,600 S  NORTON                       AV,,34.0637,-118.3166
183,201410431,05/04/2020 12:00:00 AM,05/04/2020 12:00:00 AM,1945,14,Pacific,1438,1,320,"BURGLARY, ATTEMPTED",1501 2004,49,M,O,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,320.0,,,,10700    CHARNOCK                     RD,,34.0226,-118.4099
184,201814035,07/15/2020 12:00:00 AM,07/15/2020 12:00:00 AM,200,18,Southeast,1891,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,16700 S  FIGUEROA                     ST,,33.8795,-118.2825
185,202112827,08/18/2020 12:00:00 AM,06/16/2020 12:00:00 AM,1200,21,Topanga,2118,1,310,BURGLARY,0344 0352 1606,49,M,O,507.0,CONDOMINIUM/TOWNHOUSE,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,310.0,,,,20600 W  GREEN ASH                    LN,,34.2162,-118.5799
186,201904146,01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2230,19,Mission,1999,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,56,M,W,101.0,STREET,,,IC,Invest Cont,331.0,,,,7900    WOODMAN                      AV,,34.2145,-118.4311
187,201518199,11/23/2020 12:00:00 AM,11/23/2020 12:00:00 AM,715,15,N Hollywood,1505,1,310,BURGLARY,0344 1601 0321 0352 1420,54,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,7500    CAMELLIA                     AV,,34.2067,-118.3823
188,202006515,02/21/2020 12:00:00 AM,02/18/2020 12:00:00 AM,1,20,Olympic,2071,2,649,DOCUMENT FORGERY / STOLEN FELONY,0924,0,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,649.0,,,,1500 S  SAINT ANDREWS                PL,,34.0454,-118.3116
189,201800674,04/22/2020 12:00:00 AM,04/22/2020 12:00:00 AM,1820,18,Southeast,1861,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0302 0312 0305 0371 1822 1402 1407 1419 0906,21,M,B,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,230.0,,,,11700 S  VERMONT                      AV,,33.9274,-118.2916
190,202012670,07/27/2020 12:00:00 AM,07/25/2020 12:00:00 AM,1900,20,Olympic,2004,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1606 0344 1300 1822,39,M,O,707.0,GARAGE/CARPORT,,,IC,Invest Cont,331.0,,,,4600    ROSEWOOD                     AV,,34.079,-118.3058
191,201315317,08/10/2020 12:00:00 AM,08/10/2020 12:00:00 AM,2300,13,Newton,1343,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 0603 0361,39,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,745.0,,,,600 E  MARTIN LUTHER KING JR        BL,,34.0111,-118.2653
192,201507370,03/09/2020 12:00:00 AM,03/09/2020 12:00:00 AM,1720,15,N Hollywood,1535,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1402 0447,42,M,W,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,626.0,998.0,,,OXNARD                       ST,BECK                         ST,34.1794,-118.3822
193,202014852,09/19/2020 12:00:00 AM,09/19/2020 12:00:00 AM,1240,20,Olympic,2031,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0907 0450 1407 1822 0342 1100 0919 1310 1312 0432,29,M,B,101.0,STREET,102.0,HAND GUN,AA,Adult Arrest,230.0,998.0,,,SAN MARINO,WESTERN                      AV,34.0599,-118.3139
194,201515914,10/04/2020 12:00:00 AM,08/12/2020 12:00:00 AM,1200,15,N Hollywood,1539,2,354,THEFT OF IDENTITY,0924 1822,58,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,649.0,,,5600    CARTWRIGHT                   AV,,34.1721,-118.3638
195,202010552,06/05/2020 12:00:00 AM,06/05/2020 12:00:00 AM,40,20,Olympic,2016,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1814 2000 2001 0319 0446 0913,56,F,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,6TH                          ST,ALEXANDRIA,34.0709,-118.2985
196,201714677,10/16/2020 12:00:00 AM,10/15/2020 12:00:00 AM,2005,17,Devonshire,1779,1,330,BURGLARY FROM VEHICLE,1202 0385 0344,61,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330.0,,,,16100    TUPPER                       ST,,34.2393,-118.4828
197,201610153,06/18/2020 12:00:00 AM,06/17/2020 12:00:00 AM,1300,16,Foothill,1693,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,WHITSETT                     AV,LULL,34.2094,-118.4053
198,201320683,12/01/2020 12:00:00 AM,11/30/2020 12:00:00 AM,2200,13,Newton,1333,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,29TH                         ST,SAN PEDRO                    ST,34.0189,-118.263
199,202006885,02/28/2020 12:00:00 AM,02/28/2020 12:00:00 AM,1230,20,Olympic,2002,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0202 1822 0344,0,X,X,248.0,CELL PHONE STORE,,,IC,Invest Cont,343.0,,,,400 N  WESTERN                      AV,,34.0799,-118.3113
200,202011350,06/25/2020 12:00:00 AM,06/25/2020 12:00:00 AM,420,20,Olympic,2093,1,210,ROBBERY,0344 0377 0416 0429 0444 1822,31,M,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,2000 S  HARVARD                      BL,,34.0389,-118.305
201,201706174,02/19/2020 12:00:00 AM,02/16/2020 12:00:00 AM,900,17,Devonshire,1723,1,310,BURGLARY,1606 0344,56,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,10600    OVERMAN                      AV,,34.2622,-118.5779
202,201506938,02/28/2020 12:00:00 AM,02/27/2020 12:00:00 AM,1200,15,N Hollywood,1563,2,354,THEFT OF IDENTITY,0930 1822,24,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,4300    IRVINE                       AV,,34.1479,-118.3856
203,202015586,10/07/2020 12:00:00 AM,10/05/2020 12:00:00 AM,1200,20,Olympic,2079,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,44,M,W,504.0,OTHER RESIDENCE,,,IC,Invest Cont,440.0,,,,2200 W  15TH                         ST,,34.0453,-118.287
204,201904377,01/09/2020 12:00:00 AM,01/09/2020 12:00:00 AM,110,19,Mission,1921,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,31,X,X,301.0,GAS STATION,,,IC,Invest Cont,442.0,,,,15900    ROXFORD                      ST,,34.3057,-118.4775
205,201312903,06/26/2020 12:00:00 AM,06/24/2020 12:00:00 AM,2200,13,Newton,1395,2,946,OTHER MISCELLANEOUS CRIME,1501,56,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,946.0,,,,400 E  68TH                         ST,,33.9779,-118.2681
206,201910533,06/03/2020 12:00:00 AM,06/03/2020 12:00:00 AM,1610,19,Mission,1919,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,12900    FOOTHILL                     BL,,34.2973,-118.409
207,201606558,03/02/2020 12:00:00 AM,02/29/2020 12:00:00 AM,300,16,Foothill,1675,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0397 1822 0344,0,M,O,121.0,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,341.0,,,,8900    BRADLEY                      AV,,34.2306,-118.3768
208,202009211,04/30/2020 12:00:00 AM,04/30/2020 12:00:00 AM,1720,20,Olympic,2083,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2002 0319 1822 0329 0400,0,X,X,402.0,MARKET,,,AA,Adult Arrest,740.0,,,,2100    VENICE                       BL,,34.0436,-118.3083
209,201915401,10/07/2020 12:00:00 AM,10/07/2020 12:00:00 AM,2140,19,Mission,1919,1,210,ROBBERY,0325 0443 0945 1822,20,M,H,706.0,SEX ORIENTED/BOOK STORE/STRIP CLUB/GENTLEMAN'S CLUB,511.0,VERBAL THREAT,IC,Invest Cont,210.0,,,,12900    FOOTHILL                     BL,,34.2939,-118.4157
210,201407860,03/07/2020 12:00:00 AM,03/07/2020 12:00:00 AM,345,14,Pacific,1455,1,210,ROBBERY,1814 0913 2000 0344 0448 0400,47,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,12500    CULVER                       BL,,33.9893,-118.4222
211,202105139,01/26/2020 12:00:00 AM,01/25/2020 12:00:00 AM,2300,21,Topanga,2146,1,330,BURGLARY FROM VEHICLE,1607 0344,28,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,7000    VASSAR                       AV,,34.1974,-118.6044
212,201510569,05/27/2020 12:00:00 AM,05/27/2020 12:00:00 AM,100,15,N Hollywood,1591,1,310,BURGLARY,1309 1609 0375 0344,0,M,O,210.0,RESTAURANT/FAST FOOD,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,,,,12200    VENTURA                      BL,,34.1434,-118.3978
213,201809588,04/14/2020 12:00:00 AM,04/12/2020 12:00:00 AM,1400,18,Southeast,1801,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,9200 S  HOOVER                       ST,,33.9528,-118.2869
214,201516060,10/08/2020 12:00:00 AM,10/08/2020 12:00:00 AM,415,15,N Hollywood,1566,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 0411 1822 1218,0,M,W,108.0,PARKING LOT,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,230.0,,,,11000    MOORPARK                     ST,,34.1504,-118.3709
215,201418663,10/07/2020 12:00:00 AM,10/07/2020 12:00:00 AM,2232,14,Pacific,1463,2,890,FAILURE TO YIELD,1300,0,X,X,101.0,STREET,,,IC,Invest Cont,890.0,,,,CORAL TREE                   PL,ALLA                         RD,33.9766,-118.4255
216,201419399,10/28/2020 12:00:00 AM,10/28/2020 12:00:00 AM,2225,14,Pacific,1466,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 1300 1606,53,M,H,101.0,STREET,,,IC,Invest Cont,331.0,,,,ARIZONA CIR,ARIZONA                      AV,33.9809,-118.396
217,201813949,07/13/2020 12:00:00 AM,07/13/2020 12:00:00 AM,1900,18,Southeast,1805,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0602 0447 2001 0561,0,M,H,501.0,SINGLE FAMILY DWELLING,312.0,PIPE/METAL PIPE,IC,Invest Cont,230.0,,,,200 E  92ND                         ST,,33.9529,-118.2717
218,201811304,05/18/2020 12:00:00 AM,05/18/2020 12:00:00 AM,1405,18,Southeast,1829,1,761,BRANDISH WEAPON,1240 1822 0334 0919 1300 1310 0421,27,F,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,761.0,,,,WILMINGTON,CENTURY                      BL,33.9456,-118.2323
219,202014855,09/18/2020 12:00:00 AM,09/18/2020 12:00:00 AM,1620,20,Olympic,2079,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),1822 0329,0,X,X,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,745.0,,,,2400 W  PICO                         BL,,34.0473,-118.2899
220,211420241,10/21/2021 12:00:00 AM,01/01/2020 12:00:00 AM,1200,14,Pacific,1483,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0913 0360 1501,7,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812.0,860.0,,,7300 W  87TH                         PL,,33.958,-118.4224
221,201915294,10/02/2020 12:00:00 AM,10/02/2020 12:00:00 AM,1125,19,Mission,1951,2,354,THEFT OF IDENTITY,0928,68,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,10400    MARKLEIN                     AV,,34.2595,-118.47
222,202013727,08/21/2020 12:00:00 AM,08/21/2020 12:00:00 AM,1800,20,Olympic,2027,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1822 0447 2004 0416,32,M,H,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,626.0,,,,WILSHIRE                     BL,KENMORE                      AV,34.0618,-118.2967
223,201516773,10/26/2020 12:00:00 AM,10/24/2020 12:00:00 AM,800,15,N Hollywood,1549,2,624,BATTERY - SIMPLE ASSAULT,0910 1218 2004 0400 1822,28,M,H,868.0,MTA - ORANGE LINE - NORTH HOLLYWOOD,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,5300 N  LANKERSHIM                   BL,,34.172,-118.3789
224,201408997,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,48,14,Pacific,1494,2,623,BATTERY POLICE (SIMPLE),1212 0400 0417 2004,36,X,X,212.0,TRANSPORTATION FACILITY (AIRPORT),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,623.0,,,,100    WORLD WAY,,33.9451,-118.4029
225,201606018,02/19/2020 12:00:00 AM,02/18/2020 12:00:00 AM,1600,16,Foothill,1638,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 1813 0416,23,F,O,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236.0,,,,10500    TUJUNGA CANYON               BL,,34.2596,-118.2927
226,211405061,01/17/2021 12:00:00 AM,12/11/2020 12:00:00 AM,1150,14,Pacific,1431,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,0,X,X,710.0,OTHER PREMISE,,,AA,Adult Arrest,341.0,,,,200    HORIZON                      AV,,33.9894,-118.4721
227,201507965,03/23/2020 12:00:00 AM,02/29/2020 12:00:00 AM,700,15,N Hollywood,1586,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,47,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,VENTURA                      FY,LANKERSHIM                   BL,34.1425,-118.3643
228,201600548,02/08/2020 12:00:00 AM,02/08/2020 12:00:00 AM,955,16,Foothill,1612,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 2000 1814 0416 0913 1402 2004,31,M,B,102.0,SIDEWALK,308.0,STICK,AA,Adult Arrest,230.0,998.0,,,BRADLEY                      AV,PAXTON                       ST,34.2749,-118.4246
229,201518863,12/21/2020 12:00:00 AM,12/21/2020 12:00:00 AM,1200,15,N Hollywood,1567,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,108.0,PARKING LOT,,,IC,Invest Cont,420.0,,,,4300    LANKERSHIM                   BL,,34.1512,-118.3663
230,201916048,10/23/2020 12:00:00 AM,10/23/2020 12:00:00 AM,930,19,Mission,1971,2,946,OTHER MISCELLANEOUS CRIME,0603,33,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,946.0,,,,9000    LANGDON                      AV,,34.2338,-118.4698
231,201418138,10/02/2020 12:00:00 AM,10/02/2020 12:00:00 AM,910,14,Pacific,1485,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300 1402,62,M,H,102.0,SIDEWALK,,,IC,Invest Cont,420.0,998.0,,,8700    EL MANOR                     AV,,33.9584,-118.3988
232,201612851,09/14/2020 12:00:00 AM,09/14/2020 12:00:00 AM,5,16,Foothill,1645,2,888,TRESPASSING,1501,49,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,888.0,,,,12400    OSBORNE                      ST,,34.2626,-118.4094
233,201505909,02/06/2020 12:00:00 AM,02/06/2020 12:00:00 AM,1700,15,N Hollywood,1526,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,1814 0913 0429 0416 0417 2000,20,F,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,6300    LANKERSHIM                   BL,,34.1849,-118.3867
234,201813648,07/07/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1300,18,Southeast,1862,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1300 0329 0356 0319 0444 1813 1814 2029,27,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,626.0,,,,100 E  116TH                        PL,,33.9283,-118.2695
235,211908324,05/04/2021 12:00:00 AM,05/01/2020 12:00:00 AM,745,19,Mission,1904,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1813 0401 2038,24,F,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,14400    FOOTHILL                     BL,,34.3238,-118.4387
236,202111368,07/08/2020 12:00:00 AM,06/29/2020 12:00:00 AM,1522,21,Topanga,2103,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0394,46,M,J,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,440.0,,,,8400    SALE                         AV,,34.223,-118.6193
237,202007110,03/06/2020 12:00:00 AM,03/06/2020 12:00:00 AM,600,20,Olympic,2019,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 1243 2000 0444 0429 0432 1813,45,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,100 N  COMMONWEALTH                 AV,,34.0735,-118.2856
238,201705382,02/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2240,17,Devonshire,1752,2,624,BATTERY - SIMPLE ASSAULT,0444 0913 0429 1202 0561,79,F,W,507.0,CONDOMINIUM/TOWNHOUSE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,10200    OKLAHOMA                     AV,,34.2554,-118.5864
239,202100750,07/05/2020 12:00:00 AM,07/05/2020 12:00:00 AM,415,21,Topanga,2137,2,624,BATTERY - SIMPLE ASSAULT,1402 0913 0429 0444,54,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,998.0,,,7500    LOMA VERDE                   AV,,34.2065,-118.5896
240,201506249,02/15/2020 12:00:00 AM,02/13/2020 12:00:00 AM,2130,15,N Hollywood,1527,1,761,BRANDISH WEAPON,0421 0361 0913,31,M,H,108.0,PARKING LOT,511.0,VERBAL THREAT,AO,Adult Other,761.0,,,,11100    VICTORY                      BL,,34.1867,-118.3728
241,201507932,03/22/2020 12:00:00 AM,03/22/2020 12:00:00 AM,420,15,N Hollywood,1516,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421,37,M,B,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,AA,Adult Arrest,930.0,,,,6700    TUJUNGA                      AV,,34.1946,-118.3835
242,201412646,06/22/2020 12:00:00 AM,05/31/2020 12:00:00 AM,800,14,Pacific,1488,1,510,VEHICLE - STOLEN,,0,,,203.0,OTHER BUSINESS,,,IC,Invest Cont,510.0,,,,9000    BELLANCA                     AV,,33.9574,-118.3805
243,201509267,04/27/2020 12:00:00 AM,04/27/2020 12:00:00 AM,1210,15,N Hollywood,1533,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 0400 0416 2000 1813,62,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,5700    LAUREL CANYON                BL,,34.174,-118.3965
244,202012129,07/14/2020 12:00:00 AM,07/13/2020 12:00:00 AM,1300,20,Olympic,2019,1,310,BURGLARY,1822 1606 0344,52,F,H,120.0,STORAGE SHED,,,IC,Invest Cont,310.0,,,,3600    BEVERLY                      BL,,34.0753,-118.287
245,201318104,10/08/2020 12:00:00 AM,10/07/2020 12:00:00 AM,2110,13,Newton,1353,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1300 0334 0302 0421 1822,31,M,H,103.0,ALLEY,103.0,RIFLE,IC,Invest Cont,230.0,,,,46TH                         ST,WADSWORTH                    AV,34.0018,-118.2591
246,201415088,08/07/2020 12:00:00 AM,08/07/2020 12:00:00 AM,1500,14,Pacific,1464,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,12700 W  JEFFERSON                    BL,,33.9775,-118.4176
247,201716762,12/29/2020 12:00:00 AM,12/29/2020 12:00:00 AM,1500,17,Devonshire,1701,1,761,BRANDISH WEAPON,0334 2036 1822 1202,65,F,B,102.0,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,761.0,,,,19900    RINALDI                      ST,,34.2756,-118.5683
248,202013688,08/20/2020 12:00:00 AM,08/20/2020 12:00:00 AM,2020,20,Olympic,2056,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000 1243 0913 1814 0448 0381 0369,31,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,1000 S  NEW HAMPSHIRE                AV,,34.0509,-118.2926
249,210204004,12/31/2020 12:00:00 AM,12/31/2020 12:00:00 AM,1830,2,Rampart,201,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0334 0432 0430 1100 1402 1407 2047 2033,31,M,H,102.0,SIDEWALK,106.0,UNKNOWN FIREARM,IC,Invest Cont,230.0,998.0,,,900 N  HELIOTROPE                   DR,,34.088,-118.295
250,201416447,08/30/2020 12:00:00 AM,08/30/2020 12:00:00 AM,1040,14,Pacific,1488,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,26,F,B,503.0,HOTEL,,,IC,Invest Cont,740.0,,,,5700 W  CENTURY                      BL,,33.9456,-118.3797
251,201419403,10/28/2020 12:00:00 AM,10/27/2020 12:00:00 AM,2230,14,Pacific,1431,1,310,BURGLARY,1606 0344 0324,0,X,X,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,310.0,,,,200    WINDWARD                     AV,,33.9883,-118.4708
252,201317341,09/21/2020 12:00:00 AM,09/21/2020 12:00:00 AM,1050,13,Newton,1385,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 2000 1402 0411 0334 2002 1813,59,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",200.0,KNIFE WITH BLADE 6INCHES OR LESS,AA,Adult Arrest,236.0,998.0,,,6200 S  SAN PEDRO                    ST,,33.9824,-118.2696
253,201813535,07/05/2020 12:00:00 AM,07/03/2020 12:00:00 AM,2000,18,Southeast,1863,1,310,BURGLARY,1822 0344 1602 1609 0358,0,X,X,708.0,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,,,,11800    AVALON                       BL,,33.9256,-118.2652
254,201814916,08/01/2020 12:00:00 AM,08/01/2020 12:00:00 AM,2145,18,Southeast,1823,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0913 0603 0400 0411 0416 0445 0361 0319,33,M,B,104.0,DRIVEWAY,308.0,STICK,IC,Invest Cont,230.0,,,,200 E  103RD                        ST,,33.9428,-118.27
255,202111436,07/10/2020 12:00:00 AM,07/10/2020 12:00:00 AM,700,21,Topanga,2177,2,624,BATTERY - SIMPLE ASSAULT,1202 2004 0416 0319 1822,70,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624.0,,,,BURBANK,CANOGA,34.1733,-118.5975
256,201906663,02/20/2020 12:00:00 AM,02/20/2020 12:00:00 AM,845,19,Mission,1987,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1202 0344 2032,67,F,O,402.0,MARKET,,,IC,Invest Cont,440.0,,,,WOODMAN,ROSCOE,34.2217,-118.4328
257,202113529,09/06/2020 12:00:00 AM,09/03/2020 12:00:00 AM,2200,21,Topanga,2157,1,310,BURGLARY,0344 1607,23,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,,,,21200    KITTRIDGE                    ST,,34.1913,-118.5942
258,201414972,08/05/2020 12:00:00 AM,07/06/2020 12:00:00 AM,1530,14,Pacific,1443,1,522,"VEHICLE, STOLEN - OTHER (MOTORIZED SCOOTERS, BIKES, ETC)",0344,0,X,X,721.0,HIGH SCHOOL,,,IC,Invest Cont,522.0,,,,13000    VENICE                       BL,,33.999,-118.4427
